PO #,Invoice #,Invoice Date,Total Amount
PO00786758,SAJ/2017/8195,10/26/2017,$90.25,
PO00787205,SAJ/2017/8194,10/26/2017,$260.00,
PO00786556,SAJ/2017/8193,10/26/2017,$122.50,
PO00786035,SAJ/2017/8192,10/26/2017,$122.50,
PO00785471,SAJ/2017/8191,10/26/2017,$92.75,
PO00786677,SAJ/2017/8190,10/26/2017,$92.75,
PO00784551,SAJ/2017/8189,10/26/2017,$92.75,
PO00786952,SAJ/2017/8188,10/26/2017,$90.25,
PO00786031,SAJ/2017/8187,10/26/2017,$239.00,
PO00785791,SAJ/2017/8186,10/26/2017,$310.70,
PO00785566,SAJ/2017/8185,10/26/2017,$92.75,
PO00785358,SAJ/2017/8184,10/26/2017,$106.00,
PO00786002,SAJ/2017/8183,10/26/2017,$237.50,
PO00785208,SAJ/2017/8182,10/26/2017,$92.75,
