Customer ID,Customer Name,PO #,Invoice #,Invoice Date,Total Amount
C000000101864,ZORCH INTERNATIONAL INC,PO00655684,SAJ/2017/4234,06/26/2017,$302.75,
C000000101864,ZORCH INTERNATIONAL INC,PO00714171,SAJ/2017/4219,06/26/2017,$182.50,
C000000101864,ZORCH INTERNATIONAL INC,PO00714425,SAJ/2017/4218,06/26/2017,$92.75,
C000000101864,ZORCH INTERNATIONAL INC,PO00713646,SAJ/2017/4217,06/26/2017,$185.00,
C000000101864,ZORCH INTERNATIONAL INC,PO00714254,SAJ/2017/4216,06/26/2017,$133.75,
C000000101864,ZORCH INTERNATIONAL INC,PO00714265,SAJ/2017/4215,06/26/2017,$97.50,
C000000101864,ZORCH INTERNATIONAL INC,PO00714021,SAJ/2017/4214,06/26/2017,$97.50,
C000000101864,ZORCH INTERNATIONAL INC,PO00714625,SAJ/2017/4213,06/26/2017,$133.75,
C000000101864,ZORCH INTERNATIONAL INC,PO00713633,SAJ/2017/4212,06/26/2017,$140.00,
C000000101864,ZORCH INTERNATIONAL INC,PO00713683,SAJ/2017/4211,06/26/2017,$92.75,
C000000101864,ZORCH INTERNATIONAL INC,PO00713821,SAJ/2017/4210,06/26/2017,$122.50,
C000000101864,ZORCH INTERNATIONAL INC,PO00713593,SAJ/2017/4209,06/26/2017,$100.00,
C000000101864,ZORCH INTERNATIONAL INC,PO00713079,SAJ/2017/4208,06/26/2017,$97.50,
C000000101864,ZORCH INTERNATIONAL INC,po00714894,SAJ/2017/4207,06/26/2017,$139.10,
C000000101864,ZORCH INTERNATIONAL INC,PO00713674,SAJ/2017/4206,06/26/2017,$121.50,
