PO #,Invoice#,Invoice_date,Total Amount
PO00651583,Invoice SAJ/2017/0486,03/13/2017,$92.75,
PO00651450,Invoice SAJ/2017/0485,03/13/2017,$92.75,
PO00651052,Invoice SAJ/2017/0484,03/13/2017,$63.75,
PO00651538,Invoice SAJ/2017/0483,03/13/2017,$122.50,
PO00653398,Invoice SAJ/2017/0482,03/13/2017,$122.50,
PO00650717,Invoice SAJ/2017/0481,03/13/2017,$63.75,
PO00649985,Invoice SAJ/2017/0480,03/13/2017,$258.00,
PO00649650,Invoice SAJ/2017/0479,03/13/2017,$121.50,
PO00650756,Invoice SAJ/2017/0478,03/13/2017,$135.00,
PO00651994,Invoice SAJ/2017/0477,03/13/2017,$85.00,
PO00650896,Invoice SAJ/2017/0476,03/13/2017,$183.75,
