Distributor ASI Number,Supplier ASI Number,Freight,Invoice No,Invoice Date,Supplier Sales Order No,Final Bill Code,Distributor Purchase Order Number,Distributor Name,Distributor Address,Distributor City,Distributor State,Distributor Zip,Supplier Name,Supplier Address,Supplier City,Supplier State,Supplier Zip,Ship To Name,Ship To City,Ship To State,Ship to Zip,Product (item) Number,Product Description,Quantity Shipped,Unit Price,Unit of Measure,Item Extended Price,Invoice Note,Terms,Ship Via,Actual Ship Date,Total Invoice Tax Amount,Total Invoice Amount,
356000,48500,0.00,SAJ/2018/10745,2018-01-26, ,FB SAJ/2018/10745,S2560658,HALO BRANDED SOLUTIONS,PO BOX 657 1980 INDUSTRIAL DRIVE,STERLING,Illinois,61081, , , , , ,HALO BRANDED SOLUTIONS,DILLSBURG,Pennsylvania,17019,DP-C1,[DP-C1] Catalog,1.0, ,Unit(s),0.0,UPS GROUND ACCT #F64Y76 LINE 1.: DP-961  ITEM COLOR: CAMEL TAN LINE 2.: 2018 CATALOG PO # S2560658 MUST APPEAR ON ALL INVOICES SHIPPING DOCUMENTS AND PACKAGES. ,Net 30,UPS Ground,2018-01-31, ,19.4,
356000,48500,0.00,SAJ/2018/10745,2018-01-26, ,FB SAJ/2018/10745,S2560658,HALO BRANDED SOLUTIONS,PO BOX 657 1980 INDUSTRIAL DRIVE,STERLING,Illinois,61081, , , , , ,HALO BRANDED SOLUTIONS,DILLSBURG,Pennsylvania,17019,DP-Random Sample,DP-Random Sample,1.0,19.404,Unit(s),19.404,UPS GROUND ACCT #F64Y76 LINE 1.: DP-961  ITEM COLOR: CAMEL TAN LINE 2.: 2018 CATALOG PO # S2560658 MUST APPEAR ON ALL INVOICES SHIPPING DOCUMENTS AND PACKAGES. ,Net 30,UPS Ground,2018-01-31, ,19.4,
238600,48500,74.85,SAJ/2017/8783,2017-11-14, ,FB SAJ/2017/8783,70817292-REDO,KAESER & BLAIR  INC. *,4236 GRISSOM ROAD ,BATAVIA,Ohio,45103, , , , , ,LASALLE PRINTING,JENA,Louisiana,71342,DP-334 Red,[DP-334] Plastic Tuff Tag,125.0,0.23,Unit(s),28.75,TRACK# 1Z6044370307222178 1 CTN 8 LBS SHPD 11/13,Net 30,UPS Ground,2017-11-07, ,189.85,
238600,48500,74.85,SAJ/2017/8783,2017-11-14, ,FB SAJ/2017/8783,70817292-REDO,KAESER & BLAIR  INC. *,4236 GRISSOM ROAD ,BATAVIA,Ohio,45103, , , , , ,LASALLE PRINTING,JENA,Louisiana,71342,DP-334 Orange ,[DP-334] Plastic Tuff Tag,125.0,0.23,Unit(s),28.75,TRACK# 1Z6044370307222178 1 CTN 8 LBS SHPD 11/13,Net 30,UPS Ground,2017-11-07, ,189.85,
238600,48500,74.85,SAJ/2017/8783,2017-11-14, ,FB SAJ/2017/8783,70817292-REDO,KAESER & BLAIR  INC. *,4236 GRISSOM ROAD ,BATAVIA,Ohio,45103, , , , , ,LASALLE PRINTING,JENA,Louisiana,71342,DP-334 Hunter Green,[DP-334] Plastic Tuff Tag,125.0,0.23,Unit(s),28.75,TRACK# 1Z6044370307222178 1 CTN 8 LBS SHPD 11/13,Net 30,UPS Ground,2017-11-07, ,189.85,
238600,48500,74.85,SAJ/2017/8783,2017-11-14, ,FB SAJ/2017/8783,70817292-REDO,KAESER & BLAIR  INC. *,4236 GRISSOM ROAD ,BATAVIA,Ohio,45103, , , , , ,LASALLE PRINTING,JENA,Louisiana,71342,DP-334 Blue,[DP-334] Plastic Tuff Tag,125.0,0.23,Unit(s),28.75,TRACK# 1Z6044370307222178 1 CTN 8 LBS SHPD 11/13,Net 30,UPS Ground,2017-11-07, ,189.85,
356000,48500,73.00,SAJ/2017/7389,2017-10-03, ,PB SAJ/2017/7389,WS2412967,HALO BRANDED SOLUTIONS  CINDY WEBSTER,PO BOX 657 1980 INDUSTRIAL DRIVE,STERLING,Illinois,61081, , , , , ,A. DUDA & SONS  INC.,OVIEDO,Florida,32765,DP-9604 Silver,[DP-9604] FREEZE TUMBLER ,131.0,5.6886,Unit(s),745.2066,TRACKING FOR 6 PCS TO OVIEDO 1Z6044370307203760 TRACKING FOR 125 PCS TO FELDA 1Z6044370307203706,Prepay,UPS Ground,2017-07-28, ,818.21,
356000,48500,32.00,SAJ/2017/4118,2017-06-21, ,PB SAJ/2017/4118,4106051,HALO BRANDED SOLUTIONS,PO BOX 657 1980 INDUSTRIAL DRIVE,STERLING,Illinois,61081, , , , , ,HALO BRANDED SOLUTIONS INC,ROCK FALLS,Illinois,61071,DP-950 Silver,[DP-950] Silvertone Pull-Apart Key Tag,0.0,0.744,Unit(s),0.0, ,Net 30,UPS Ground,2017-06-20, ,776.0,
356000,48500,62.00,SAJ/2017/3474,2017-05-31, ,PB SAJ/2017/3474,WS2344969,HALO BRANDED SOLUTIONS,PO BOX 657 1980 INDUSTRIAL DRIVE,STERLING,Illinois,61081, , , , , ,PROFESSIONAL INSURANCE AGENTS OF WI,MADISON,Wisconsin,53719,Q1300,[DP-9016] Canvas Zipper Tote Bag,100.0,3.7734,Unit(s),377.34,TRACK# 1Z02193A0397919896 6 CTNS  248 LBS SHPD 5/22,Net 30,UPS Ground,2017-05-03, ,1571.36,
356000,48500,62.00,SAJ/2017/3474,2017-05-31, ,PB SAJ/2017/3474,WS2344969,HALO BRANDED SOLUTIONS,PO BOX 657 1980 INDUSTRIAL DRIVE,STERLING,Illinois,61081, , , , , ,PROFESSIONAL INSURANCE AGENTS OF WI,MADISON,Wisconsin,53719,Q1300,[DP-9016] Canvas Zipper Tote Bag,100.0,3.7734,Unit(s),377.34,TRACK# 1Z02193A0397919896 6 CTNS  248 LBS SHPD 5/22,Net 30,UPS Ground,2017-05-03, ,1571.36,
