Distributor ASI Number,Supplier ASI Number,Freight,Invoice No,Invoice Date,Supplier Sales Order No,Final Bill Code,Distributor Purchase Order Number,Distributor Name,Distributor Address,Distributor City,Distributor State,Distributor Zip,Supplier Name,Supplier Address,Supplier City,Supplier State,Supplier Zip,Ship To Name,Ship To City,Ship To State,Ship to Zip,Product (item) Number,Product Description,Quantity Shipped,Unit Price,Unit of Measure,Item Extended Price,Invoice Note,Terms,Ship Via,Actual Ship Date,Total Invoice Tax Amount,Total Invoice Amount,
116308,48500,0.00,SAJ/2017/7691,2017-10-11, ,SAJ/2017/7691,436740,PROFORMA ALBRECHT & CO,1040 TECHNECENTER DRIVE ,MILFORD,Ohio,45150, , , , , ,VISIT ORLANDO,ORLANDO,Florida,32821,DP-Random Sample,DP-Random Sample,1.0,1.794,Unit(s),1.794,1 EA DP329  588  2 EA DP382  165,2% discount if paid within 10 days,UPS Ground,2017-10-13, ,32.33,
116308,48500,0.00,SAJ/2017/7691,2017-10-11, ,SAJ/2017/7691,436740,PROFORMA ALBRECHT & CO,1040 TECHNECENTER DRIVE ,MILFORD,Ohio,45150, , , , , ,VISIT ORLANDO,ORLANDO,Florida,32821,DP-Random Sample,DP-Random Sample,1.0,3.504,Unit(s),3.504,1 EA DP329  588  2 EA DP382  165,2% discount if paid within 10 days,UPS Ground,2017-10-13, ,32.33,
116308,48500,0.00,SAJ/2017/7691,2017-10-11, ,SAJ/2017/7691,436740,PROFORMA ALBRECHT & CO,1040 TECHNECENTER DRIVE ,MILFORD,Ohio,45150, , , , , ,VISIT ORLANDO,ORLANDO,Florida,32821,DP-Random Sample,DP-Random Sample,2.0,5.154,Unit(s),10.308,1 EA DP329  588  2 EA DP382  165,2% discount if paid within 10 days,UPS Ground,2017-10-13, ,32.33,
116308,48500,0.00,SAJ/2017/7691,2017-10-11, ,SAJ/2017/7691,436740,PROFORMA ALBRECHT & CO,1040 TECHNECENTER DRIVE ,MILFORD,Ohio,45150, , , , , ,VISIT ORLANDO,ORLANDO,Florida,32821,DP-Random Sample,DP-Random Sample,2.0,8.364,Unit(s),16.728,1 EA DP329  588  2 EA DP382  165,2% discount if paid within 10 days,UPS Ground,2017-10-13, ,32.33,
356000,48500,73.00,SAJ/2017/7389,2017-10-03, ,SAJ/2017/7389,WS2412967,HALO BRANDED SOLUTIONS  CINDY WEBSTER,PO BOX 657 1980 INDUSTRIAL DRIVE,STERLING,Illinois,61081, , , , , ,A. DUDA & SONS  INC.,OVIEDO,Florida,32765,DP-9604 Silver,[DP-9604] FREEZE TUMBLER ,131.0,5.6886,Unit(s),745.2066,TRACKING FOR 6 PCS TO OVIEDO 1Z6044370307203760 TRACKING FOR 125 PCS TO FELDA 1Z6044370307203706,Prepay,UPS Ground,2017-07-28, ,818.21,
116308,48500,50.00,SAJ/2017/4910,2017-07-19, ,SAJ/2017/4910,414384,PROFORMA ALBRECHT & CO,1040 TECHNECENTER DRIVE ,MILFORD,Ohio,45150, , , , , ,TRIDENT TECHNICAL COLLEGE,CHARLESTON ,South Carolina,29423-8067,DP-9501 Orange,[DP-9501] Lumina 23Oz Sports Bottle,10.0,3.354,Unit(s),33.54,TRACK# 1Z6044370307162993 2 CTNS  17 LBS SHPD 7/5,2% discount if paid within 10 days,UPS Ground,2017-04-11, ,217.7,
116308,48500,50.00,SAJ/2017/4910,2017-07-19, ,SAJ/2017/4910,414384,PROFORMA ALBRECHT & CO,1040 TECHNECENTER DRIVE ,MILFORD,Ohio,45150, , , , , ,TRIDENT TECHNICAL COLLEGE,CHARLESTON ,South Carolina,29423-8067,DP-9501 Blue,[DP-9501] Lumina 23Oz Sports Bottle,10.0,3.354,Unit(s),33.54,TRACK# 1Z6044370307162993 2 CTNS  17 LBS SHPD 7/5,2% discount if paid within 10 days,UPS Ground,2017-04-11, ,217.7,
116308,48500,50.00,SAJ/2017/4910,2017-07-19, ,SAJ/2017/4910,414384,PROFORMA ALBRECHT & CO,1040 TECHNECENTER DRIVE ,MILFORD,Ohio,45150, , , , , ,TRIDENT TECHNICAL COLLEGE,CHARLESTON ,South Carolina,29423-8067,DP-9501 Yellow,[DP-9501] Lumina 23Oz Sports Bottle,10.0,3.354,Unit(s),33.54,TRACK# 1Z6044370307162993 2 CTNS  17 LBS SHPD 7/5,2% discount if paid within 10 days,UPS Ground,2017-04-11, ,217.7,
116308,48500,50.00,SAJ/2017/4910,2017-07-19, ,SAJ/2017/4910,414384,PROFORMA ALBRECHT & CO,1040 TECHNECENTER DRIVE ,MILFORD,Ohio,45150, , , , , ,TRIDENT TECHNICAL COLLEGE,CHARLESTON ,South Carolina,29423-8067,DP-9501 Green,[DP-9501] Lumina 23Oz Sports Bottle,10.0,3.354,Unit(s),33.54,TRACK# 1Z6044370307162993 2 CTNS  17 LBS SHPD 7/5,2% discount if paid within 10 days,UPS Ground,2017-04-11, ,217.7,
116308,48500,50.00,SAJ/2017/4910,2017-07-19, ,SAJ/2017/4910,414384,PROFORMA ALBRECHT & CO,1040 TECHNECENTER DRIVE ,MILFORD,Ohio,45150, , , , , ,TRIDENT TECHNICAL COLLEGE,CHARLESTON ,South Carolina,29423-8067,DP-9501 Pink,[DP-9501] Lumina 23Oz Sports Bottle,10.0,3.354,Unit(s),33.54,TRACK# 1Z6044370307162993 2 CTNS  17 LBS SHPD 7/5,2% discount if paid within 10 days,UPS Ground,2017-04-11, ,217.7,
356000,48500,32.00,SAJ/2017/4118,2017-06-21, ,SAJ/2017/4118,4106051,HALO BRANDED SOLUTIONS,PO BOX 657 1980 INDUSTRIAL DRIVE,STERLING,Illinois,61081, , , , , ,HALO BRANDED SOLUTIONS INC,ROCK FALLS,Illinois,61071,DP-950 Silver,[DP-950] Silvertone Pull-Apart Key Tag,0.0,0.744,Unit(s),0.0, ,Net 30,UPS Ground,2017-06-20, ,776.0,
132690,48500,30.00,SAJ/2017/3498,2017-06-05, ,SAJ/2017/3498,202773-1,BARKER ADVERTISING SPECIALTY CO  INC,27 REALTY DRIVE False,CHESHIRE,Connecticut,064100222, , , , , ,BARKER ADVERTISING SPECIALTY CO  INC,CHESHIRE,Connecticut,064100222,DP-256 White,[DP-256] Retractable Badge Holder,1000.0,0.54,Unit(s),540.0,TRACK# 1Z6044370307149598 2 CTNS  28 LBS SHPD 6/1,Net 30,UPS Ground,2017-06-01, ,570.0,
356000,48500,62.00,SAJ/2017/3474,2017-05-31, ,SAJ/2017/3474,WS2344969,HALO BRANDED SOLUTIONS,PO BOX 657 1980 INDUSTRIAL DRIVE,STERLING,Illinois,61081, , , , , ,PROFESSIONAL INSURANCE AGENTS OF WI,MADISON,Wisconsin,53719,Q1300,[DP-9016] Canvas Zipper Tote Bag,100.0,3.7734,Unit(s),377.34,TRACK# 1Z02193A0397919896 6 CTNS  248 LBS SHPD 5/22,Net 30,UPS Ground,2017-05-03, ,1571.36,
356000,48500,62.00,SAJ/2017/3474,2017-05-31, ,SAJ/2017/3474,WS2344969,HALO BRANDED SOLUTIONS,PO BOX 657 1980 INDUSTRIAL DRIVE,STERLING,Illinois,61081, , , , , ,PROFESSIONAL INSURANCE AGENTS OF WI,MADISON,Wisconsin,53719,Q1300,[DP-9016] Canvas Zipper Tote Bag,100.0,3.7734,Unit(s),377.34,TRACK# 1Z02193A0397919896 6 CTNS  248 LBS SHPD 5/22,Net 30,UPS Ground,2017-05-03, ,1571.36,
356000,48500,62.00,SAJ/2017/3474,2017-05-31, ,SAJ/2017/3474,WS2344969,HALO BRANDED SOLUTIONS,PO BOX 657 1980 INDUSTRIAL DRIVE,STERLING,Illinois,61081, , , , , ,PROFESSIONAL INSURANCE AGENTS OF WI,MADISON,Wisconsin,53719,Q1300,[DP-9016] Canvas Zipper Tote Bag,100.0,3.7734,Unit(s),377.34,TRACK# 1Z02193A0397919896 6 CTNS  248 LBS SHPD 5/22,Net 30,UPS Ground,2017-05-03, ,1571.36,
356000,48500,62.00,SAJ/2017/3474,2017-05-31, ,SAJ/2017/3474,WS2344969,HALO BRANDED SOLUTIONS,PO BOX 657 1980 INDUSTRIAL DRIVE,STERLING,Illinois,61081, , , , , ,PROFESSIONAL INSURANCE AGENTS OF WI,MADISON,Wisconsin,53719,Q1300,[DP-9016] Canvas Zipper Tote Bag,100.0,3.7734,Unit(s),377.34,TRACK# 1Z02193A0397919896 6 CTNS  248 LBS SHPD 5/22,Net 30,UPS Ground,2017-05-03, ,1571.36,
238600,48500,47.00,SAJ/2017/3256,2017-05-25, ,SAJ/2017/3256,70407237B,KAESER & BLAIR  INC. *,4236 GRISSOM ROAD ,BATAVIA,Ohio,45103, , , , , ,ARKANSAS HOME HOSPICE PROVIDERS,JONESBORO,Arkansas,72401,DP-132 Blue,[DP-132] Office Mate Letter Opener & Staple Remover,300.0,0.588,Unit(s),176.4, ,Net 30,UPS Ground,2017-04-18, ,223.4,
356000,48500,6.00,SAJ/2017/2659,2017-05-12, ,SAJ/2017/2659,4023084,HALO BRANDED SOLUTIONS,PO BOX 657 1980 INDUSTRIAL DRIVE,STERLING,Illinois,61081, , , , , ,COLOR 3 EMBROIDERY INC,WARREN,Ohio,44483,DP-994 Royal,Micro Mink Sherpa Blankets,24.0,16.17,Unit(s),388.08,TRACK# 1Z2072730343240008 2 CTNS  56 LBS SHPD 4/4 BLANK ORDER,Net 30,UPS Ground,2017-04-07, ,394.08,
356000,48500,77.00,SAJ/2017/2347,2017-04-28, ,SAJ/2017/2347,WS2322912,HALO BRANDED SOLUTIONS,PO BOX 657 1980 INDUSTRIAL DRIVE,STERLING,Illinois,61081, , , , , ,FIRST NATL BANK OF SYCAMORE,SYCAMORE,Ohio,44882,DP-466 White,[DP-466] Magnetic Whiteboard/Corkboard,100.0,2.99,Unit(s),299.0, ,Net 30,UPS Ground,2017-04-17, ,376.0,
356000,48500,251.00,SAJ/2017/2345,2017-04-28, ,SAJ/2017/2345,WS2336976,HALO BRANDED SOLUTIONS,PO BOX 657 1980 INDUSTRIAL DRIVE,STERLING,Illinois,61081, , , , , ,CAMBRIDGE LANDSCAPE,CAMBRIDGE,Massachusetts,02138,DP-303 Green ,[DP-303] Soft Vinyl Oval Tag,500.0,0.348,Unit(s),174.0, ,Net 30,UPS Ground,2017-04-24, ,425.0,
356000,48500,27.00,SAJ/2017/2111,2017-04-25, ,SAJ/2017/2111,WS2333742,HALO BRANDED SOLUTIONS,PO BOX 657 1980 INDUSTRIAL DRIVE,STERLING,Illinois,61081, , , , , ,PRAIRIE FARMS,CARLINVILLE,Illinois,62626,DP-334 White ,[DP-334] Plastic Tuff Tag,1000.0,0.2394,Unit(s),239.4, ,Net 30,UPS Ground,2017-04-20, ,266.4,
356000,48500,9.00,SAJ/2017/2038,2017-04-24, ,SAJ/2017/2038,4035743,HALO BRANDED SOLUTIONS,PO BOX 657 1980 INDUSTRIAL DRIVE,STERLING,Illinois,61081, , , , , ,HALO BRANDED SOLUTIONS INC,ROCK FALLS,Illinois,61071,DP-329 Translucent Blue,[DP-329] Stand-Up Grip Stapler,100.0,1.795,Unit(s),179.5,NO CHARGE FOR SET UP PER VALERIE,Net 30,UPS Ground,2017-04-20, ,188.5,
356000,48500,47.00,SAJ/2017/2037,2017-04-24, ,SAJ/2017/2037,WS2317295M2-1,HALO BRANDED SOLUTIONS,PO BOX 657 1980 INDUSTRIAL DRIVE,STERLING,Illinois,61081, , , , , ,LOURDES CAMPUS,WATERFORD,Michigan,48328,DP-302 White ,[DP-302] Soft Vinyl House Tag,350.0,0.3192,Unit(s),111.72, ,Net 30,UPS Ground,2017-04-07, ,298.72,
356000,48500,47.00,SAJ/2017/2037,2017-04-24, ,SAJ/2017/2037,WS2317295M2-1,HALO BRANDED SOLUTIONS,PO BOX 657 1980 INDUSTRIAL DRIVE,STERLING,Illinois,61081, , , , , ,LOURDES CAMPUS,WATERFORD,Michigan,48328,DP-313 Black,[DP-313] Coil Wrist Bracelet With Ring Only,350.0,0.4,Unit(s),140.0, ,Net 30,UPS Ground,2017-04-07, ,298.72,
